epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.62096,0.98732,2.9317,1.32863,0.00748,0.96575,0.39751,0.2982,0.90919,3.28895,1.24644,0.00018337,0.00018337,0.00018337
2,6.17191,0.80894,2.14708,1.18799,0.00634,0.81579,0.42878,0.35411,0.90791,3.14342,1.27083,0.000382145,0.000382145,0.000382145
3,8.71928,0.82163,1.49426,1.16604,0.00579,0.69465,0.47003,0.36024,1.0957,3.08479,1.41586,0.000579599,0.000579599,0.000579599
4,11.2381,0.83325,1.10376,1.15582,0.97453,0.46032,0.46997,0.37275,1.09203,2.58281,1.42819,0.000775733,0.000775733,0.000775733
5,13.7783,0.80772,0.95258,1.15038,0.89471,0.40476,0.42075,0.31411,1.10756,2.53556,1.44573,0.000970547,0.000970547,0.000970547
6,16.2839,0.80137,0.88951,1.1296,0.94615,0.46027,0.86998,0.56171,1.04031,2.06026,1.36671,0.00116404,0.00116404,0.00116404
7,18.7902,0.81402,0.95424,1.1456,0.88862,0.43651,0.83881,0.55386,1.01447,2.0034,1.44424,0.00135621,0.00135621,0.00135621
8,21.28,0.76955,0.86506,1.12751,0.70963,0.75195,0.89154,0.56973,1.11556,1.89188,1.44684,0.00154707,0.00154707,0.00154707
9,23.7964,0.76745,0.84734,1.11507,0.69087,0.71448,0.84124,0.55403,1.07584,1.7111,1.4049,0.00162299,0.00162299,0.00162299
10,26.2872,0.77075,0.80087,1.12461,0.65213,0.75107,0.90393,0.59815,1.13167,1.71195,1.47133,0.00161749,0.00161749,0.00161749
11,28.7916,0.75134,0.76499,1.10238,0.6572,0.74896,0.87763,0.55176,1.14714,1.595,1.42575,0.00161199,0.00161199,0.00161199
12,31.2467,0.74949,0.75944,1.10543,0.89963,0.80505,0.91318,0.59457,1.17584,1.32569,1.62013,0.00160649,0.00160649,0.00160649
13,33.7357,0.73321,0.76522,1.08671,0.77688,0.81482,0.90271,0.61707,0.99789,1.36791,1.3567,0.00160099,0.00160099,0.00160099
14,36.2041,0.7409,0.72128,1.09592,0.77171,0.83093,0.94053,0.62851,1.01818,1.26096,1.31106,0.00159549,0.00159549,0.00159549
15,38.6866,0.74825,0.70783,1.10503,0.75619,0.82957,0.84307,0.54478,1.16353,1.28514,1.55827,0.00158998,0.00158998,0.00158998
16,41.1798,0.75828,0.71777,1.09733,0.89787,0.88931,0.93002,0.59109,1.11322,1.08659,1.46135,0.00158448,0.00158448,0.00158448
17,43.6604,0.72431,0.68474,1.07923,0.92591,0.89098,0.93111,0.4376,1.65838,1.4564,1.80172,0.00157898,0.00157898,0.00157898
18,46.1675,0.74936,0.69538,1.11008,0.76638,0.90044,0.9073,0.59963,1.06978,1.06465,1.33132,0.00157348,0.00157348,0.00157348
19,48.6643,0.69346,0.65414,1.08368,0.85148,0.8849,0.89637,0.61811,1.0486,1.00664,1.38501,0.00156798,0.00156798,0.00156798
20,51.1448,0.7039,0.65698,1.0955,0.86336,0.92614,0.94114,0.63292,0.97751,0.91435,1.30253,0.00156248,0.00156248,0.00156248
21,53.6383,0.68403,0.6248,1.06264,0.84664,0.91562,0.92337,0.63111,1.07818,0.95879,1.40107,0.00155698,0.00155698,0.00155698
22,56.1146,0.68893,0.60823,1.05285,0.87667,0.92439,0.93101,0.65151,0.97985,0.85472,1.28774,0.00155148,0.00155148,0.00155148
23,58.5982,0.70668,0.57487,1.07414,0.82812,0.83825,0.90236,0.58503,1.14157,1.21754,1.42968,0.00154598,0.00154598,0.00154598
24,61.0836,0.69365,0.56687,1.07485,0.89656,0.92439,0.93302,0.64142,0.98849,0.90634,1.31405,0.00154047,0.00154047,0.00154047
25,63.5483,0.71953,0.5816,1.09612,0.86659,0.93175,0.92525,0.59463,1.11854,1.12338,1.43585,0.00153497,0.00153497,0.00153497
26,66.0105,0.7154,0.59715,1.09095,0.83198,0.82957,0.89089,0.57431,1.01793,1.23944,1.32846,0.00152947,0.00152947,0.00152947
27,68.506,0.71348,0.58499,1.09361,0.80144,0.89826,0.94769,0.64404,1.15224,1.03969,1.3765,0.00152397,0.00152397,0.00152397
28,70.9601,0.72165,0.58582,1.08478,0.86872,0.90685,0.9101,0.63328,1.03466,0.89003,1.32208,0.00151847,0.00151847,0.00151847
29,73.44,0.6909,0.55088,1.06361,0.92437,0.92321,0.95012,0.65604,0.92954,0.74555,1.23606,0.00151297,0.00151297,0.00151297
30,75.8963,0.68266,0.54097,1.05459,0.90496,0.85574,0.9359,0.64994,0.97625,1.02547,1.30479,0.00150747,0.00150747,0.00150747
31,78.3591,0.66865,0.545,1.05428,0.91786,0.93182,0.94901,0.66539,0.93945,0.73023,1.27262,0.00150197,0.00150197,0.00150197
32,80.8216,0.68191,0.54355,1.07221,0.85781,0.94934,0.95092,0.66008,0.95636,0.73281,1.26246,0.00149647,0.00149647,0.00149647
33,83.2751,0.65691,0.53169,1.04854,0.75957,0.88133,0.91696,0.6317,0.90205,0.81048,1.22897,0.00149096,0.00149096,0.00149096
34,85.7356,0.64977,0.53972,1.05006,0.86983,0.93529,0.9524,0.61842,0.94062,0.88819,1.23037,0.00148546,0.00148546,0.00148546
35,88.216,0.65077,0.51252,1.03851,0.83099,0.92439,0.92424,0.64924,0.97379,0.86558,1.25286,0.00147996,0.00147996,0.00147996
36,90.6961,0.66435,0.52624,1.0469,0.92345,0.90434,0.89928,0.63034,0.99562,0.72474,1.31602,0.00147446,0.00147446,0.00147446
37,93.1816,0.65339,0.49569,1.05397,0.94591,0.93141,0.95056,0.66431,0.88369,0.63655,1.20929,0.00146896,0.00146896,0.00146896
38,95.6842,0.67308,0.49307,1.06238,0.96407,0.91562,0.92783,0.64851,0.98886,0.67751,1.2664,0.00146346,0.00146346,0.00146346
39,98.1525,0.65769,0.47913,1.04617,0.96738,0.92439,0.93481,0.65121,1.02658,0.70326,1.2828,0.00145796,0.00145796,0.00145796
